Variety	Field I PCo1	Field I shannon_e	Field I Tiller	Field II PCo1	Field II shannon_e	Field II Tiller
MC160	-0.259987144	4.170202243	18.16666667	-0.128512432	5.359783853	41.5
MC161	0.042395617	5.740346199	15.16666667	0.061181544	6.331672026	30.33
MC162	-0.05154578	5.51755854	22.33333333	-0.055415298	5.92671858	36.5
MC163	-0.00541249	5.103162608	17.5	0.051834266	5.583392446	33.5
MC165	0.160449761	6.165285047	15.83333333	0.154856694	5.895212273	25.83
MC166	0.115118014	6.236195059	22.33333333	0.139850343	6.384879838	43.83
MC167	-0.020723942	5.426694317	9.166666667	-0.01786369	5.847395142	15.5
MC168	0.138596181	6.321825365	15.83333333	0.094156336	6.397578943	31.83
MC169	-0.010558095	5.478609022	13.5	-0.154412106	5.723224483	22.17
MC170	-0.174152638	4.824444021	14.33333333	-0.179210996	5.256909877	32.5
MC171	-0.075461077	5.26124452	17.66666667	0.145163471	6.54631308	38.33
MC172	0.109251152	6.068890881	14.66666667	0.085460659	6.023189104	21.5
MC173	-0.099483297	5.039791847	15.5	0.063994749	6.44187158	29.17
MC174	0.123931865	5.803474415	15	-0.069225039	5.70903891	27.33
MC175	-0.163843456	4.495919831	17.66666667	-0.056808009	5.771697586	28.33
MC176	-0.123676475	4.86362574	15.5	-0.045474958	6.217100849	32.67
MC177	-0.299400077	3.989082792	8.833333333	-0.207507502	5.13392078	20.67
MC178	-0.002391242	6.135705747	28	0.15076418	6.504845011	39.83
MC193	-0.032132723	5.807466685	12.33333333	-0.101317182	5.778092802	21
MC194	0.056770065	5.90391393	13.83333333	-0.146100418	5.862114157	21.17
MC195	-0.042690163	5.449738774	15.5	0.248133829	6.843494951	28.33
MC196	-0.095088371	5.073005399	12.66666667	0.157570793	6.429383113	24.67
MC197	-0.219312634	4.510268787	10.83333333	0.034932781	6.243106246	17.67
MC198	-0.287526414	4.178793146	9.833333333	-0.178712907	5.574374808	19.17
MC199	-0.192691661	4.759320872	11	-0.059850989	6.487101094	24.67
MC200	0.203600577	6.127205536	25.33333333	0.191214882	6.293447864	41.17
MC203	0.215185129	6.232833383	33.66666667	0.091238906	6.239564703	38
MC204	-0.102835246	5.356839037	18.83333333	0.106588693	6.320624917	43.33
MC205	-0.036284047	5.481035947	14.16666667	-0.086431826	5.479581541	16.33
MC206	0.008599616	5.640948054	7.5	0.029040077	6.127622057	19.4
MC207	0.09061097	5.848192446	23.16666667	-0.036591533	5.631841436	39.83
MC209	-0.075309885	4.507085864	5.166666667	-0.206915632	5.193953592	17.67
MC210	-0.025159701	5.782571438	19.66666667	0.179386783	6.861294869	39
MC211	-0.192240618	4.940523336	7.5	0.019251458	5.738395418	15
MC212	-0.180026306	4.421226847	7.666666667	-0.190134077	5.173137311	26
MC213	-0.152402507	4.555901816	11.16666667	-0.238978718	4.912315009	21.5
MC215	0.007660391	5.737533121	18.16666667	0.104986553	6.111907986	36.33
MC216	-0.087749111	5.484232511	11.5	-0.075891749	6.018293653	32.17
MC217	-0.005328648	5.422807931	13.83333333	-0.019735414	6.140682366	36
