Dimensions	Genotype	Microbiota in field I	Microbiota in field II
139	0.136776057	0	0.045070639
140	0.135777706	-0.000538343	0.044252754
141	0.133382651	-0.001758412	0.044129842
142	0.132286498	-0.004258575	0.040120567
143	0.128802158	-0.005458627	0.038953461
144	0.127326884	-0.008334685	0.03519358
145	0.123343369	-0.010872917	0.031169527
146	0.122456281	-0.01136933	0.030719099
147	0.120804084	-0.014576643	0.026888246
148	0.116864799	-0.017507606	0.023800625
149	0.115785953	-0.019371192	0.020203244
150	0.113733207	-0.01975157	0.019583737
151	0.112105185	-0.025914821	0.017508399
152	0.107339527	-0.027186702	0.016252349
153	0.101877441	-0.028062012	0.01063814
154	0.098849145	-0.035083005	0.007834617
155	0.097154091	-0.035856837	0.006094233
156	0.095341729	-0.037798094	0.004472339
157	0.093161785	-0.042481269	0.002118288
158	0.090451621	-0.044368954	0.001488552
159	0.08704283	-0.049106088	0
160	0.085088161	-0.052058904	-0.004307602
161	0.081137063	-0.055873135	-0.007170958
162	0.078732119	-0.060724773	-0.008301493
163	0.076230471	-0.062617693	-0.01508313
164	0.074981021	-0.066853131	-0.015807735
165	0.071138989	-0.071802569	-0.019995805
166	0.067945858	-0.077973328	-0.023087762
167	0.064131299	-0.08201927	-0.026360681
168	0.061462893	-0.088927225	-0.033462477
169	0.060370861	-0.095069005	-0.033903077
170	0.056324983	-0.098207377	-0.035652482
171	0.052763995	-0.106425572	-0.042922209
172	0.051256303	-0.114322432	-0.047430409
173	0.046844216	-0.118401799	-0.058984094
174	0.045951634	-0.134195113	-0.066428499
175	0.042992294	-0.141465397	-0.076015276
176	0.041872789	-0.164947218	-0.076838114
177	0.039494768	-0.176943779	-0.086913032
178	0.037684604	-0.187111496	-0.098867351
179	0.036876088	-0.234561896	-0.112878144
180	0.014343402	-0.272098538	-0.12741815
181	0.001298593	-0.365207943	-0.153799864
182	-8.29E-15	-0.627895919	-0.293676462
