GroupID,Orobanchol
Mock,3.674232894
Mock,3.117304533
Mock,2.686548415
Mock,3.053741672
R780,1.806273308
R780,1.867064993
R780,1.679396744
R780,1.285550521
R2567,2.324690064
R2567,2.663082425
R2567,2.28749046
R2567,2.235403744
